,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
374,79.78731258710225,2.2213313239106935,0.07624951998392741,0.011221712456964787,0.6,0.15,5,320,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.15, 'max_depth': 5, 'n_estimators': 320, 'subsample': 0.6}",0.9266166141922983,0.9207848837209303,0.9299903100775194,0.9257972693302493,0.0038024959437954423,62
375,83.10848100980122,3.2273133008054415,0.08364057540893555,0.001930969837911005,0.6,0.15,5,320,0.7,"{'colsample_bytree': 0.6, 'learning_rate': 0.15, 'max_depth': 5, 'n_estimators': 320, 'subsample': 0.7}",0.9208040687817873,0.9236918604651163,0.9273255813953488,0.9239405035474175,0.002668195298823104,254
376,64.34175332387288,3.512477674491111,0.08153645197550456,0.011442429273321458,0.6,0.15,5,340,0.4,"{'colsample_bytree': 0.6, 'learning_rate': 0.15, 'max_depth': 5, 'n_estimators': 340, 'subsample': 0.4}",0.9237103414870429,0.9166666666666666,0.9217538759689923,0.9207102947075673,0.002968741049749171,549
377,66.76210880279541,5.636171921517224,0.08188827832539876,0.00876931129540748,0.6,0.15,5,340,0.5,"{'colsample_bytree': 0.6, 'learning_rate': 0.15, 'max_depth': 5, 'n_estimators': 340, 'subsample': 0.5}",0.9212884475659966,0.9212693798449613,0.9304748062015504,0.9243442112041693,0.0043349922845706875,207
378,81.16570766766866,4.06110863296102,0.09001390139261882,0.002615276570545825,0.6,0.15,5,340,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.15, 'max_depth': 5, 'n_estimators': 340, 'subsample': 0.6}",0.9258900460159845,0.9222383720930233,0.9302325581395349,0.9261203254161808,0.0032676723711918907,46
379,91.38642613093059,2.28325438736051,0.0880904992421468,0.0013150471808389278,0.6,0.15,5,340,0.7,"{'colsample_bytree': 0.6, 'learning_rate': 0.15, 'max_depth': 5, 'n_estimators': 340, 'subsample': 0.7}",0.9227415839186244,0.9246608527131783,0.9285368217054264,0.9253130861124097,0.0024104289461558746,103
380,59.951216538747154,4.080900295955257,0.0813760757446289,0.0003720118875029927,0.6,0.15,6,260,0.4,"{'colsample_bytree': 0.6, 'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 260, 'subsample': 0.4}",0.9140227658028578,0.9210271317829457,0.9261143410852714,0.920388079557025,0.004957004405428702,564
381,67.06379318237305,4.694769486639797,0.07790843645731609,0.001377673591926088,0.6,0.15,6,260,0.5,"{'colsample_bytree': 0.6, 'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 260, 'subsample': 0.5}",0.9215306369581012,0.9210271317829457,0.9275678294573644,0.9233751993994704,0.002971754752904858,309
382,70.97105272610982,5.857222188792576,0.07695261637369792,0.001344260702693874,0.6,0.15,6,260,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 260, 'subsample': 0.6}",0.9244369096633568,0.9200581395348837,0.9312015503875969,0.9252321998619458,0.004583904175341538,119
383,83.18793384234111,2.624504823047217,0.07888412475585938,0.0002785441310785991,0.6,0.15,6,260,0.7,"{'colsample_bytree': 0.6, 'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 260, 'subsample': 0.7}",0.9205618793896827,0.9227228682170543,0.9309593023255814,0.9247480166441062,0.004479770867703036,165
384,60.49077955881754,7.923002974372563,0.07471585273742676,0.013513847538307151,0.6,0.15,6,280,0.4,"{'colsample_bytree': 0.6, 'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 280, 'subsample': 0.4}",0.9140227658028578,0.9224806201550387,0.9244186046511628,0.9203073302030198,0.004513738897458268,571
385,73.2727038860321,4.249384946698014,0.07953182856241862,0.006929741279654275,0.6,0.15,6,280,0.5,"{'colsample_bytree': 0.6, 'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 280, 'subsample': 0.5}",0.9224993945265197,0.9229651162790697,0.9273255813953488,0.9242633640669795,0.0021736460018938774,220
